date,action,qqq_close,reference_high,drawdown_percent
2010-05-07,SWITCH_TO_TQQQ,39.412899017333984,43.84804916381836,10.114817491456574
2010-10-13,SWITCH_TO_QQQ,44.120609283447266,43.84804916381836,0.0
2011-08-08,SWITCH_TO_TQQQ,44.43122863769531,52.37071228027344,15.160159747471491
2012-01-18,SWITCH_TO_QQQ,52.54497146606445,52.37071228027344,0.0
2012-05-18,SWITCH_TO_TQQQ,53.80204772949219,60.384639739990234,10.901103391263046
2012-08-17,SWITCH_TO_QQQ,60.58549118041992,60.384639739990234,0.0
2012-11-08,SWITCH_TO_TQQQ,56.16938781738281,62.43000793457031,10.028222523612262
2013-04-10,SWITCH_TO_QQQ,62.761844635009766,62.43000793457031,0.0
2015-08-21,SWITCH_TO_TQQQ,94.49830627441406,105.1847152709961,10.15965957511008
2015-10-28,SWITCH_TO_QQQ,105.47760009765625,105.1847152709961,0.0
2016-01-13,SWITCH_TO_TQQQ,94.5535659790039,106.5322036743164,11.244147104975733
2016-07-27,SWITCH_TO_QQQ,106.91878509521484,106.5322036743164,0.0
2018-02-08,SWITCH_TO_TQQQ,145.285400390625,161.83534240722656,10.226407761388057
2018-03-09,SWITCH_TO_QQQ,163.94668579101562,161.83534240722656,0.0
2018-04-02,SWITCH_TO_TQQQ,147.47463989257812,164.8177490234375,10.522597980872284
2018-06-04,SWITCH_TO_QQQ,165.2937774658203,164.8177490234375,0.0
2018-10-24,SWITCH_TO_TQQQ,157.41505432128906,177.4700164794922,11.300479120945262
2019-04-12,SWITCH_TO_QQQ,177.75210571289062,177.4700164794922,0.0
2019-06-03,SWITCH_TO_TQQQ,162.7249755859375,182.80259704589844,10.983225503585059
2019-07-03,SWITCH_TO_QQQ,183.52308654785156,182.80259704589844,0.0
2020-02-27,SWITCH_TO_TQQQ,197.961669921875,228.13145446777344,13.224736858967567
2020-06-03,SWITCH_TO_QQQ,228.33787536621094,228.13145446777344,0.0
2020-09-08,SWITCH_TO_TQQQ,260.8770446777344,292.5843505859375,10.836979436769322
2020-12-01,SWITCH_TO_QQQ,293.2608947753906,292.5843505859375,0.0
2021-03-08,SWITCH_TO_TQQQ,290.38446044921875,325.7314758300781,10.851581134670141
2021-04-09,SWITCH_TO_QQQ,326.7826232910156,325.7314758300781,0.0
2022-01-20,SWITCH_TO_TQQQ,351.8834533691406,392.5079040527344,10.349970093375694
2023-12-13,SWITCH_TO_QQQ,397.3857727050781,392.5079040527344,0.0
2024-08-02,SWITCH_TO_TQQQ,444.0926513671875,497.74005126953125,10.778196322661026
2024-11-06,SWITCH_TO_QQQ,501.03594970703125,497.74005126953125,0.0
2025-03-10,SWITCH_TO_TQQQ,469.2366027832031,535.5331420898438,12.379539956748076
2025-06-24,SWITCH_TO_QQQ,537.1928100585938,535.5331420898438,0.0
2026-03-27,SWITCH_TO_TQQQ,561.9624633789062,633.4562377929688,11.28630048117526
2026-04-15,SWITCH_TO_QQQ,636.7003173828125,633.4562377929688,0.0
2026-07-29,SWITCH_TO_TQQQ,661.72998046875,745.3408813476562,11.217806908394557
